,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
30,         Surat-Surat Berharga Yan..., 3960000000.000000 , -109795000000.000000 , 720458000000.000000 , 362228000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
31,         Surat Berharga Yang Diju..., 49892000000.000000 , -49892000000.000000 , - , - , - , - , - , - , - , - , - , - , - , - , - 
32,         Dana Investasi Revenue S..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
33,         Liabilitas Lain-Lain, 335007000000.000000 , 562682000000.000000 , 534384000000.000000 , 608610000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
34,        &nbspTotal Kenaikan/Penuruna...,-1036970000000.000000,-30602808000000.000000,-8366317000000.000000,-48312022000000.000000,16908760000000.000000,-9252769000000.000000,17626175000000.000000,8108117000000.000000,22999434000000.000000,-14127332000000.000000,-21994478000000.000000,18693403000000.000000,14699198000000.000000,80177575000000.000000,-15340783000000.000000
35,     &nbspTotal Arus Kas Dari Aktivitas...,-1743764000000.000000,-18660401000000.000000,2711962000000.000000,-37228553000000.000000,27715044000000.000000,-4189827000000.000000,35136527000000.000000,29459026000000.000000,45667484000000.000000,9658627000000.000000,4912562000000.000000,51942040000000.000000,50978875000000.000000,126186318000000.000000,33779263000000.000000
36,Arus Kas Dari Aktivitas Investa..., 4205004000000.000000 , 25805983000000.000000 , -4999306000000.000000 , 3316909000000.000000 , 2052255000000.000000 , -4612390000000.000000 , -25053743000000.000000 , 18935842000000.000000 , -60596377000000.000000 , -20620020000000.000000 , 20627654000000.000000 , -34732414000000.000000 , -44117844000000.000000 , -41247858000000.000000 , -32382986000000.000000 
37,      Pembelian Efek-Efek Untuk..., - , - , - , - , -23631358000000.000000 , -18268301000000.000000 , -49735172000000.000000 , -60322065000000.000000 , -138127963000000.000000 , -90070128000000.000000 , -80019462000000.000000 , -113341023000000.000000 , -130808823000000.000000 , -128125285000000.000000 , -136240737000000.000000 
38,      Penerimaan Dari Efek-Efek..., - , - , - , - , 28876712000000.000000 , 15556338000000.000000 , 27283429000000.000000 , 82584300000000.000000 , 82343696000000.000000 , 70914740000000.000000 , 102856627000000.000000 , 81979747000000.000000 , 89587869000000.000000 , 90154180000000.000000 , 107010907000000.000000 
39,      Penjualan Efek-Efek Untuk..., - , - , - , - , - , 985508000000.000000 , - , - , 29497000000.000000 , 35500000000.000000 , 115679000000.000000 , 189740000000.000000 , 61671000000.000000 , 3656000000.000000 , 150000000000.000000 
40,      Penerimaan Dividen Kas Da..., 51000000.000000 , 108000000.000000 , 140000000.000000 , 225000000.000000 , 1884000000.000000 , 1305000000.000000 , 1430000000.000000 , 1575000000.000000 , 1071000000.000000 , 1025000000.000000 , 11640000000.000000 , 1445000000.000000 , 9147000000.000000 , 10034000000.000000 , 46530000000.000000 
41,"      Akuisisi Entitas Anak, Se...", - , - , - , - , - , 26574000000.000000 , 47693000000.000000 , - , - , -269936000000.000000 , - , -924002000000.000000 , -303726000000.000000 , - , - 
42,      Penempatan Sertifikat Dep..., - , - , - , - , - , - , - , -2288410000000.000000 , -3939435000000.000000 , - , - , - , - , - , - 
43,      Penerimaan Dari Sertifika..., - , - , - , - , - , - , - , 1485000000000.000000 , 1745000000000.000000 , - , - , - , - , - , - 
44,      Perolehan Aset Tetap, -1014455000000.000000 , -930497000000.000000 , -1118823000000.000000 , -1727384000000.000000 , -3211877000000.000000 , -2937296000000.000000 , -2661220000000.000000 , -2533375000000.000000 , -2728366000000.000000 , -1736651000000.000000 , -2347223000000.000000 , -2675281000000.000000 , -2673737000000.000000 , -3061820000000.000000 , -2631226000000.000000 
45,      Perolehan Aset Sewa Guna, - , - , - , - , - , - , - , - , - , - , - , - , - , -243632000000.000000 , -723780000000.000000 
46,      Hasil Penjualan Aset Teta..., 13780000000.000000 , 11045000000.000000 , 13389000000.000000 , 24191000000.000000 , 16894000000.000000 , 23482000000.000000 , 10097000000.000000 , 8817000000.000000 , 80123000000.000000 , 505430000000.000000 , 10393000000.000000 , 36960000000.000000 , 9755000000.000000 , 15009000000.000000 , 5320000000.000000 
47,      Hasil Penjualan Penyertaa..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
48,      Pembelian Penyertaan Dala..., -25824000000.000000 , -212490000000.000000 , -38932000000.000000 , -205083000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
49,      Penerimaan Dari Penjualan..., - , - , 24366000000.000000 , - , - , - , - , - , - , - , - , - , - , - , - 
50,      Pembelian Obligasi Pemeri..., -1810483000000.000000 , -8310109000000.000000 , -696107000000.000000 , -2864649000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
51,      Penerimaan Dari Obligasi ..., 17821531000000.000000 , 11854425000000.000000 , 6315571000000.000000 , 11121507000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
52,      Pembelian Obligasi Pemeri..., -9403737000000.000000 , -6530064000000.000000 , -3912071000000.000000 , -938856000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
53,      Pembelian Surat-Surat Ber..., -162861000000.000000 , -26193767000000.000000 , -13582155000000.000000 , -18414934000000.000000 , - , - , - , - , - , - , - , - , - , - , - 
