,In Million,12M 2007,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
10,         Penghasilan Lainnya, - , - , 681570800.000000 , 1437626036.000000 , 1709912233.000000 , 6574046751.000000 , 39692459576.000000 , 37736624521.000000 , 45395769412.000000 , 55006406191.000000 , 79301000000.000000 , 97637000000.000000 , 89545000000.000000 , 75858000000.000000 , 55371000000.000000 , 52248000000.000000 
11,         Restitusi Pajak Penghasi..., 6535166797.000000 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
12,        &nbspTotal Penerimaan Dari:,10238024500.000000,18059599995.000000,21957885460.000000,15130173140.000000,18126906250.000000,18659242075.000000,61119869466.000000,61313028707.000000,82712438195.000000,95342037241.000000,159656000000.000000,157721000000.000000,195200000000.000000,134524000000.000000,211255000000.000000,179531000000.000000
13,      Pembayaran Atas:,,,,,,,,,,,,,,,,
14,         Beban Bunga, -45099645776.000000 , -38055151783.000000 , -27705444951.000000 , -31704873080.000000 , -27643885877.000000 , -12727917849.000000 , -7601363214.000000 , -2896772313.000000 , -2314561135.000000 , -2035318620.000000 , -1500000000.000000 , -1247000000.000000 , -1463000000.000000 , -27785000000.000000 , -228831000000.000000 , -116298000000.000000 
15,         Beban Pembiayaan Lainnya, - , - , - , - , - , - , - , - , - , - , - , - , - , -23287000000.000000 , - , - 
16,         Pajak Penghasilan, -9915074057.000000 , -11463241009.000000 , -32882251940.000000 , -29938293251.000000 , -72970804778.000000 , -70916678805.000000 , -170436720813.000000 , -125695094342.000000 , -111720131452.000000 , -253029785147.000000 , -347000000000.000000 , -291922000000.000000 , -278947000000.000000 , -321089000000.000000 , -331696000000.000000 , -427799000000.000000 
17,        &nbspTotal Pembayaran Atas:,-55014719833.000000,-49518392792.000000,-60587696891.000000,-61643166331.000000,-100614690655.000000,-83644596654.000000,-178038084027.000000,-128591866655.000000,-114034692587.000000,-255065103767.000000,-348500000000.000000,-293169000000.000000,-280410000000.000000,-372161000000.000000,-560527000000.000000,-544097000000.000000
18,      Piutang Lain -Lain, - , - , - , -100753879.000000 , 1490726086.000000 , -558824230.000000 , -8157827344.000000 , -1970054642.000000 , 1108174405.000000 , -4839903883.000000 , -3098000000.000000 , -8358000000.000000 , -9137000000.000000 , -16388000000.000000 , 23843000000.000000 , -7526000000.000000 
19,     &nbspTotal Arus Kas Dari Aktivitas...,-63543756329.000000,130839061099.000000,15687936541.000000,263881302428.000000,322963103223.000000,491603153597.000000,195989263645.000000,128022639236.000000,669463282892.000000,779108645836.000000,1072516000000.000000,575823000000.000000,1096817000000.000000,1217063000000.000000,1414447000000.000000,259846000000.000000
20,Arus Kas Dari Aktivitas Investa..., -43172525929.000000 , -172062864091.000000 , 55944182117.000000 , -219246587233.000000 , -299509426464.000000 , -54267583999.000000 , -83894854034.000000 , -151360410751.000000 , -283394639132.000000 , -77338111138.000000 , -399687000000.000000 , -1089186000000.000000 , -264854000000.000000 , -2632522000000.000000 , 1024322000000.000000 , 551903000000.000000 
21,      Pencairan Investasi, - , -160000000000.000000 , 160000000000.000000 , - , - , - , - , - , - , - , - , - , - , - , - , - 
22,      Hasil Penjualan Obligasi ..., - , - , - , - , - , - , - , - , - , - , - , - , - , 199854000000.000000 , 1969375000000.000000 , 910361000000.000000 
23,      Investasi Hewan Ternak, - , - , -10404020353.000000 , -8380215665.000000 , -35084528880.000000 , - , - , - , -17844408550.000000 , - , - , - , -60509000000.000000 , - , - , - 
