,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
47,            Efek-Efek Yang Dijual..., 71000000.000000 , 441712000000.000000 , -18099000000.000000 , -423684000000.000000 , -102681000000.000000 , - , 15456092000000.000000 , -4434003000000.000000 , -4075560000000.000000 , 4834286000000.000000 , 25242710000000.000000 , 12523543000000.000000 , -9424266000000.000000 , -11070164000000.000000 , -19410916000000.000000 
48,            Liabilitas Lain-Lain, 6083000000.000000 , -4967000000.000000 , 3476865000000.000000 , 1125856000000.000000 , 3559568000000.000000 , -2639539000000.000000 , -1371878000000.000000 , 3963481000000.000000 , 3417378000000.000000 , 2418063000000.000000 , 2673187000000.000000 , 1252567000000.000000 , 291044000000.000000 , 235264000000.000000 , 5698879000000.000000 
49,           &nbspTotal Kenaikan (Penuru...,40515269000000.000000,53507250000000.000000,82257880000000.000000,50102176000000.000000,69332929000000.000000,53944834000000.000000,138169679000000.000000,46812789000000.000000,76201620000000.000000,98899413000000.000000,135944734000000.000000,94769100000000.000000,92156891000000.000000,33080536000000.000000,157609070000000.000000
50,         Kenaikan Dana Syirkah Te..., - , - , - , - , - , - , - , - , - , - , - , 3859957000000.000000 , 8728142000000.000000 , -33496976000000.000000 , - 
51,        &nbspTotal Perubahan Dalam A...,-24551203000000.000000,-9172438000000.000000,29091328000000.000000,-1151418000000.000000,-46517813000000.000000,-30681719000000.000000,43389558000000.000000,6574119000000.000000,-17816383000000.000000,-12226226000000.000000,13269482000000.000000,-10821395000000.000000,12132391000000.000000,-39494161000000.000000,28585777000000.000000
52,      Adjustment, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
53,     &nbspTotal Arus Kas Dari Aktivitas...,-15797753000000.000000,1506696000000.000000,44813470000000.000000,15551390000000.000000,-24367229000000.000000,-490456000000.000000,75822636000000.000000,45544908000000.000000,21770833000000.000000,39299109000000.000000,57262380000000.000000,44583078000000.000000,66689187000000.000000,32588374000000.000000,97506005000000.000000
54,Arus Kas Dari Aktivitas Investa..., -636194000000.000000 , -425253000000.000000 , -505890000000.000000 , -1788462000000.000000 , -5496837000000.000000 , -7487647000000.000000 , -24649614000000.000000 , -56704530000000.000000 , -3324382000000.000000 , -30995996000000.000000 , -26999124000000.000000 , -5188442000000.000000 , -116007831000000.000000 , -73095605000000.000000 , 27227960000000.000000 
55,      Hasil Penjualan Aset Teta..., 3295000000.000000 , 16273000000.000000 , 5875000000.000000 , 10475000000.000000 , 13895000000.000000 , 108193000000.000000 , 14059000000.000000 , 21628000000.000000 , - , - , - , - , 35214000000.000000 , 51654000000.000000 , 343195000000.000000 
56,      Perolehan Aset Tetap, -639578000000.000000 , -441550000000.000000 , -511912000000.000000 , -601339000000.000000 , -1445290000000.000000 , -1947985000000.000000 , -3064718000000.000000 , -3285398000000.000000 , -3653072000000.000000 , -2006347000000.000000 , -1822703000000.000000 , -3695364000000.000000 , -3129034000000.000000 , -8254116000000.000000 , -10538233000000.000000 
